host_chip	tumor_chip	FOI_age_est
H-000552	T1-000552	336.0
H-000678	T1-000678	499.0
H-006969	T1-006969	365.0
H-007425	T1-007425	513.0
H-007763	T1-007763	705.0
H-008016	T1-008016	155.0
H-010985	T1-010985	348.0
H-016662	T1-016662	588.0
H-017481	T1-017481	464.0
H-017554	T1-017554	787.0
H-017790	T1-017790	739.0
H-022118	T1-022118	292.0
H-022381	T1-022381	887.0
H-022679	T1-022679	646.0
H-029805	T1-029805	285.0
H-035814	T1-035814	416.0
H-059003	T2-059003	589.0
H-059180	T1-059180	873.0
H-093221	T1-093221	412.0
H-094895	T1-094895	1531.0
H-111670	T1-111670	147.0
H-112018	T1-112018	82.0
H-112172	T1-112172	270.0
H-112208	T1-112208	341.0
H-112226	T1-112226	263.0
H-112386	T1-112386	258.0
H-112423	T1-112423	829.0
H-112453	T1-112453	340.0
H-112466	T2-112466	134.0
H-112574	T1-112574	323.0
H-112626	T1-112626	73.0
H-112637	T1-112637	336.0
H-112642	T1-112642	66.0
H-112717	T1-112717	340.0
H-112723	T1-112723	637.0
H-112768	T1-112768	227.0
H-112839	T1-112839	411.0
H-112844	T1-112844	326.0
H-113354	T1-113354	246.0
H-113882	T1-113882	475.0
H-115982	T1-115982	542.0
H-118785	T1-118785	330.0
H-118883	T1-118883	634.0
H-120008	T1-120008	425.0
H-120122	T1-120122	419.0
H-120188	T1-120188	227.0
H-120402	T1-120402	301.0
H-120466	T1-120466	24.0
H-120678	T1-120678	299.0
H-120761	T1-120761	250.0
H-120788	T1-120788	386.0
H-137877	T1-137877	291.0
H-145258	T1-145258	402.0
H-154889	T1-154889	233.0
H-160463	T1-160463	553.0
H-168181	T1-168181	615.0
H-169079	T1-169079	345.0
H-179620	T1-179620	327.0
H-181561	T1-181561	379.0
H-203255	T1-203255	624.0
H-205647	T1-205647	385.0
H-206811	T1-206811	409.0
H-209752	T3-209752	554.0
H-211233	T1-211233	1114.0
H-218282	T2-218282	73.0
H-218583	T1-218583	310.0
H-218697	T1-218697	250.0
H-218728	T1-218728	72.0
H-219007	T1-219007	103.0
H-222562	T1-222562	114.0
H-222754	T1-222754	319.0
H-223104	T1-223104	140.0
H-223167	T1-223167	497.0
H-225166	T1-225166	235.0
H-225392	T1-225392	360.0
H-225764	T1-225764	211.0
H-226166	T1-226166	788.0
