Microchip	FOI_age_est	Site
T1-622258	317.0	Black River
T1-727892	125.0	Black River
T1-587802	1214.0	Freycinet
T2-982914	-32.0	Freycinet
T1-226166	788.0	Freycinet
T1-115982	542.0	WPP
T1-240078	235.0	WPP
T1-120788	386.0	Freycinet
T1-915709	205.0	WPP
T1-452435	167.0	Freycinet
T1-574605	209.0	WPP
T1-475978	143.0	Black River
T1-120402	301.0	Black River
T1-607744	141.0	Freycinet
T1-610133	110.0	Freycinet
T1-610211	250.0	Freycinet
T1-915074	205.0	Freycinet
T1-848145	-28.0	Freycinet
T1-017554	787.0	Freycinet
T1-112642	66.0	Freycinet
T1-700861	71.0	Mt William
T1-833519	535.0	Takone
T1-434038	268.0	Wilmot
T1-000351	127.0	Wilmot
T1-424771	761.0	Wilmot
T1-604583	307.0	WPP
T1-029805	285.0	WPP
T1-664154	461.0	WPP
T1-797771	342.0	WPP
T1-112423	829.0	WPP
T1-017001	380.0	WPP
T1-212306	308.0	WPP
T2-917717	97.0	WPP
T1-601331	84.0	WPP
T1-798071	94.0	WPP
T1-222754	319.0	WPP
T2-418721	128.0	WPP
T1-789148	427.0	WPP
T1-797338	64.0	WPP
T1-812469	546.0	WPP
T1-524220	241.0	WPP
T1-694598	244.0	WPP
T1-252932	391.0	WPP
T1-814762	-16.0	WPP
T1-112018	82.0	WPP
T1-206811	409.0	WPP
T1-120761	250.0	WPP
T1-721626	441.0	WPP
T1-094895	1531.0	WPP
T1-226625	908.0	Freycinet
T1-809213	247.0	WPP
T1-093221	412.0	WPP
T1-816598	18.0	Freycinet
T1-574585	324.0	WPP
T1-016613	299.0	Takone
T1-218697	250.0	Black River
T1-601116	323.0	Takone
T1-219007	103.0	Black River
T3-253781	147.0	WPP
T1-112172	270.0	WPP
T1-021998	601.0	Mt William
T1-602511	565.0	Freycinet
T1-160259	540.0	Takone
T1-797607	350.0	Takone
T1-902095	445.0	WPP
T1-813037	224.0	WPP
T1-499120	477.0	Takone
T1-574417	452.0	Freycinet
T1-495423	243.0	Black River
T1-017790	739.0	Freycinet
T1-112844	326.0	WPP
T1-017343	215.0	Takone
T1-810831	1328.0	Takone
T1-112839	411.0	Takone
T1-222562	114.0	Black River
T1-594472	327.0	Takone
T1-426081	277.0	Freycinet
T1-575584	314.0	Takone
T1-591613	295.0	WPP
T1-112451	483.0	Mt William
T1-218728	72.0	Black River
T1-120466	24.0	Black River
T1-120188	227.0	Takone
T1-812844	24.0	WPP
T1-833341	970.0	Wilmot
T1-483199	322.0	Black River
T1-601158	600.0	Takone
T1-179620	327.0	WPP
T1-240273	573.0	WPP
T1-547298	568.0	Takone
T1-425037	484.0	WPP
T1-830109	114.0	Freycinet
T1-785985	1.0	WPP
T1-782584	569.0	WPP
T1-017014	309.0	Takone
T1-600846	467.0	Takone
T1-810816	454.0	WPP
T1-164254	147.0	WPP
T1-898077	35.0	WPP
T1-723252	30.0	WPP
T1-797544	259.0	Takone
T1A-592422	253.0	WPP
T1-426095	863.0	Freycinet
T1-596572	250.0	Black River
T1-016662	588.0	WPP
T1-225764	211.0	Black River
T1-035814	416.0	WPP
T1-796184	180.0	WPP
T1-532966	327.0	WPP
T1-572651	357.0	Takone
T1-120678	299.0	WPP
T1-112717	340.0	Black River
T1-833203	239.0	Wilmot
T1-728006	13.0	Black River
T1-807486	1365.0	Takone
T1-032309	414.0	WPP
T1-851669	389.0	Takone
T1-833847	494.0	Takone
T1-572975	180.0	Takone
T1-574868	200.0	Takone
T1-225166	235.0	Black River
T1-417100	-18.0	Black River
T1-223104	140.0	Black River
T1-819948	19.0	Black River
T1-982759	201.0	Black River
T1-819486	389.0	Black River
T3-451428	301.0	Dip River
T1-591658	399.0	Freycinet
T1-797178	151.0	Freycinet
T1-120008	425.0	Freycinet
T1-410482	95.0	Freycinet
T1-606075	562.0	Freycinet
T1-120122	419.0	Freycinet
T1-112768	227.0	Freycinet
T1-453224	220.0	Freycinet
T1-793937	503.0	Freycinet
T1-237585	617.0	Freycinet
T1-022381	887.0	Freycinet
T1-833456	176.0	Freycinet
T4-526239	89.0	Mt William
T2-210677	205.0	Mt William
T1-120337	145.0	Takone
T1-795078	248.0	Takone
T1-833096	312.0	Takone
T1-999821	650.0	Takone
T1-808695	960.0	Takone
T1-595831	318.0	Takone
T1-797085	344.0	Takone
T1-794087	334.0	Takone
T1-584205	596.0	Takone
T1-416896	-102.0	Takone
T1-006969	365.0	Takone
T1-792761	108.0	Takone
T1-583002	1014.0	Takone
T1-600832	512.0	Takone
T1-000610	118.0	Wilmot
T1-841126	586.0	Wilmot
T1-008016	155.0	WPP
T1-789608	285.0	WPP
T1-429834	155.0	WPP
T1-155334	325.0	WPP
T1-827172	97.0	WPP
T1-205647	385.0	WPP
T1-788545	1393.0	WPP
T1-916991	109.0	WPP
T1-595034	356.0	WPP
T1-605291	194.0	WPP
T1-601031	454.0	WPP
T1-796503	237.0	WPP
T1-786887	604.0	WPP
T1A-915086	77.0	WPP
T1-145258	402.0	WPP
T1-203255	624.0	WPP
T1-112637	336.0	WPP
T1-811000	334.0	WPP
T1-275775	260.0	WPP
T2-592088	168.0	WPP
T1-601373	711.0	WPP
T1-601143	217.0	WPP
T2-982877	323.0	WPP
T1-118883	634.0	WPP
T1-010985	348.0	WPP
T1-610576	389.0	WPP
T1-809417	128.0	WPP
T1-811270	638.0	WPP
T1-601320	163.0	WPP
T1-985720	196.0	Takone
T1-459803	157.0	Takone
T1-417009	180.0	West Takone
T1-424178	878.0	Wilmot
T1-574912	738.0	Takone
T1-414290	526.0	Freycinet
T1-017187	543.0	Takone
T1-816556	484.0	Mt William
T1-783273	163.0	WPP
T1-707541	146.0	Takone
T1-168181	615.0	Takone
T1-173894	637.0	Takone
T1-833771	659.0	Takone
T1-792193	187.0	Freycinet
T1-416101	368.0	Takone
T1-827851	228.0	West Takone
T1-500463	259.0	Takone
T1-113354	246.0	Black River
T1-388804	1494.0	Black River
T1-483847	499.0	Dip River
T1-794291	239.0	Freycinet
T1-985892	473.0	West Takone
T1-795010	304.0	Takone
T1-489786	760.0	Takone
T1-487335	238.0	Wilmot
T1-168595	610.0	Takone
T1-852026	359.0	West Takone
T1-574318	414.0	Takone
T1-209762	1640.0	Takone
T1-433600	275.0	Wilmot
T1-022528	1161.0	Freycinet
T1-572309	961.0	Takone
T1-007396	640.0	Wilmot
T1-697786	552.0	Freycinet
T1-421013	49.0	Freycinet
T1-433486	1015.0	Wilmot
T1-982482	101.0	Black River
T1-492284	897.0	Freycinet
T1-807442	548.0	Takone
T2-983139	-27.0	Freycinet
T1-582387	373.0	Takone
T1-978018	451.0	West Takone
T1-112626	73.0	Black River
T1-570555	22.0	Wilmot
T1-172391	554.0	Takone
T1-621050	601.0	Black River
T1-418797	245.0	West Takone
T1-423419	298.0	Takone
T1-173253	915.0	Takone
T1-793918	175.0	Freycinet
T1-392944	367.0	Freycinet
T1-418713	108.0	Freycinet
T1-147384	881.0	Takone
T1-794578	386.0	Freycinet
T1-721693	434.0	Freycinet
T1-819534	560.0	Black River
T1-983053	396.0	West Takone
T1-022679	646.0	Freycinet
T1-119793	272.0	Freycinet
T1-999868	229.0	Takone
T1-016988	599.0	Takone
T1-582684	949.0	Takone
T1-582885	347.0	Takone
T1-132103	77.0	WPP
T1-909987	501.0	Wilmot
T1-833385	658.0	Wilmot
T1-120577	439.0	Takone
T1-526288	306.0	WPP
T1-169164	756.0	Takone
T1-113882	475.0	Black River
T1-904089	557.0	WPP
T2-925282	242.0	WPP
T1-601432	278.0	WPP
T1-818438	123.0	WPP
T1-978712	93.0	Freycinet
T1-502994	440.0	Freycinet
T1-533968	249.0	WPP
T1-533626	162.0	WPP
T1-808001	138.0	WPP
T1-426044	118.0	Freycinet
T1-017005	460.0	Takone
T1-781717	60.0	WPP
T1-453175	150.0	Freycinet
T1-915387	445.0	Freycinet
T1-535511	369.0	Takone
T1-592363	338.0	WPP
T1-112208	341.0	WPP
T1-059180	873.0	Takone
T1-721678	161.0	Freycinet
T1-915137	240.0	WPP
T1-577683	393.0	Takone
T1-986037	356.0	WPP
T1-881692	151.0	WPP
T1-452806	93.0	Freycinet
T1-112574	323.0	Takone
T1-978551	200.0	West Takone
T1-007425	513.0	Takone
T1-909961	470.0	WPP
T1-154889	233.0	WPP
T1-566772	429.0	Black River
T1-160463	553.0	WPP
T1-009797	559.0	WPP
T1-794245	-130.0	Takone
T1-419211	239.0	WPP
T1-625636	236.0	Black River
T1-979062	483.0	West Takone
T1-532654	526.0	WPP
T1-977606	147.0	Freycinet
T1-223167	497.0	Black River
T1-604602	44.0	WPP
T1-169079	345.0	WPP
T1-583094	453.0	Freycinet
T1-809050	746.0	WPP
T1-415268	453.0	Freycinet
T1-828737	154.0	WPP
T1-416908	272.0	Black River
T1-983152	431.0	Freycinet
T1-919599	294.0	WPP
T1-112386	258.0	WPP
T1-909578	225.0	WPP
T1-595045	363.0	Black River
T1-816049	119.0	WPP
T1-601375	652.0	WPP
T1-532991	393.0	WPP
T1-626434	195.0	Black River
T1-859673	282.0	Takone
T1-574915	514.0	WPP
T1-017419	494.0	WPP
T1-113932	194.0	Black River
T1-810552	259.0	WPP
T1-794046	163.0	Freycinet
T1-991370	91.0	WPP
T1-816327	167.0	Mt William
T1-429677	157.0	Wilmot
T1-137877	291.0	WPP
T1-578488	12.0	Arthur River
T1-234181	410.0	SORELL
T1-866164	642.0	SORELL
T1-521579	507.0	SORELL
T1-417898	231.0	SORELL
T1-834894	724.0	SORELL
T1-247939	304.0	Freycinet
T1-889309	244.0	SORELL
T1-382329	508.0	SORELL
T1-771787	457.0	SORELL
