Microchip	FOI_age_est	Site
H-809417	128.0	WPP
H-275775	260.0	WPP
H-582584	362.0	Takone
H-574450	341.0	WPP
H-925282	239.0	WPP
H-267534	94.0	WPP
H-029805	285.0	WPP
H-841875	222.0	WPP
H-240078	235.0	WPP
H-000678	469.0	WPP
H-572309	961.0	Takone
H-035814	416.0	WPP
H-904089	557.0	WPP
H-798071	94.0	WPP
H-093221	412.0	WPP
H-008016	155.0	WPP
H-591658	393.0	Freycinet
H-797178	133.0	Freycinet
H-459803	126.0	Takone
H-120008	425.0	Freycinet
H-494952	386.0	Black River
H-794197	303.0	Takone
H-833096	312.0	Takone
H-827172	97.0	WPP
H-418695	179.0	WPP
H-796197	206.0	Arthur River
H-414764	314.0	WPP
H-999821	650.0	Takone
H-168181	610.0	Takone
H-417100	-21.0	Black River
H-808695	951.0	Takone
H-792193	176.0	Freycinet
H-410482	95.0	Freycinet
H-416101	368.0	Takone
H-418673	183.0	WPP
H-783690	782.0	Takone
H-502994	435.0	Freycinet
H-595831	311.0	Takone
H-606075	562.0	Freycinet
H-916991	109.0	WPP
H-223104	140.0	Black River
H-419042	84.0	Freycinet
H-797085	322.0	Takone
H-595034	356.0	WPP
H-388804	1494.0	Black River
H-605291	194.0	WPP
H-574880	531.0	WPP
H-601031	451.0	WPP
H-794087	334.0	Takone
H-819948	19.0	Black River
H-120122	378.0	Freycinet
H-796503	224.0	WPP
H-112768	227.0	Freycinet
H-584205	581.0	Takone
H-089731	412.0	WPP
H-582676	988.0	Takone
H-203255	623.0	WPP
H-112637	314.0	WPP
H-982759	196.0	Black River
H-816396	393.0	Freycinet
H-819486	389.0	Black River
H-592088	152.0	WPP
H-006969	354.0	Takone
H-118785	282.0	WPP
H-792761	108.0	Takone
H-793937	501.0	Freycinet
H-595415	313.0	Freycinet
H-237585	617.0	Freycinet
H-583002	997.0	Takone
H-601373	711.0	WPP
H-532966	327.0	WPP
H-938840	40.0	Freycinet
H-601143	208.0	WPP
H-120678	299.0	WPP
H-022381	859.0	Freycinet
H-982877	302.0	WPP
H-112717	322.0	Black River
H-112642	66.0	Freycinet
H-118883	629.0	WPP
H-600832	488.0	Takone
H-571094	472.0	Takone
H-010985	348.0	WPP
H-728006	13.0	Black River
H-587526	352.0	Freycinet
H-807486	1365.0	Takone
H-851669	389.0	Takone
H-451428	260.0	Black River
H-833847	494.0	Takone
H-572975	180.0	Takone
H-494080	432.0	Freycinet
H-451207	44.0	Black River
H-225166	235.0	Black River
H-979666	4.0	WPP
H-833456	176.0	Freycinet
H-112226	243.0	Black River
H-112466	35.0	WPP
H-601320	111.0	WPP
H-604583	299.0	WPP
H-226625	885.0	Freycinet
H-607744	139.0	Freycinet
H-610133	110.0	Freycinet
H-664154	453.0	WPP
H-816598	-1.0	Freycinet
H-574585	319.0	WPP
H-209752	367.0	WPP
H-059003	507.0	Takone
H-218697	250.0	Black River
H-601116	304.0	Takone
H-219007	103.0	Black River
H-827230	722.0	Freycinet
H-833519	449.0	Takone
H-494859	249.0	Black River
H-797771	338.0	WPP
H-112453	303.0	Takone
H-112172	270.0	WPP
H-112423	815.0	WPP
H-602511	565.0	Freycinet
H-797607	350.0	Takone
H-120788	383.0	Freycinet
H-574417	452.0	Freycinet
H-622258	312.0	Black River
H-982914	-41.0	Freycinet
H-495423	243.0	Black River
H-017790	717.0	Freycinet
H-112844	314.0	WPP
H-917717	-50.0	WPP
H-601331	84.0	WPP
H-810831	1313.0	Takone
H-112839	411.0	Takone
H-222562	114.0	Black River
H-226166	769.0	Freycinet
H-594472	323.0	Takone
H-426081	277.0	Freycinet
H-222754	319.0	WPP
H-115982	514.0	WPP
H-591613	295.0	WPP
H-797338	64.0	WPP
H-218728	56.0	Black River
H-120466	24.0	Black River
H-218282	38.0	Freycinet
H-610211	250.0	Freycinet
H-120188	227.0	Takone
H-022118	256.0	Freycinet
H-524220	241.0	WPP
H-601426	245.0	WPP
H-915086	77.0	WPP
H-483199	322.0	Black River
H-609040	174.0	WPP
H-601158	594.0	Takone
H-179620	327.0	WPP
H-240273	573.0	WPP
H-451356	69.0	Black River
H-547298	563.0	Takone
H-694598	244.0	WPP
H-727892	119.0	Black River
H-425037	484.0	WPP
H-820975	433.0	Freycinet
H-915074	205.0	Freycinet
H-830109	91.0	Freycinet
H-814762	-16.0	WPP
H-112018	81.0	WPP
H-601169	100.0	Freycinet
H-794412	268.0	WPP
H-600846	467.0	Takone
H-723252	30.0	WPP
H-120761	250.0	WPP
H-610347	209.0	Black River
H-797544	259.0	Takone
H-592422	253.0	WPP
H-426095	863.0	Freycinet
H-848145	-28.0	Freycinet
H-596572	250.0	Black River
H-016662	588.0	WPP
H-225764	211.0	Black River
H-721626	441.0	WPP
H-120402	300.0	Black River
H-915709	202.0	WPP
H-574605	209.0	WPP
H-985720	196.0	Takone
H-417009	180.0	Takone
H-218583	267.0	Black River
H-574912	738.0	Takone
H-976170	24.0	Black River
H-414290	523.0	Freycinet
H-783273	155.0	WPP
H-978385	202.0	Takone
H-113882	450.0	Black River
H-795018	207.0	Black River
H-601432	274.0	WPP
H-626502	504.0	WPP
H-978712	93.0	Freycinet
H-826645	310.0	Freycinet
H-827851	211.0	Takone
H-986095	189.0	Freycinet
H-113354	246.0	Black River
H-911814	291.0	WPP
H-453175	150.0	Freycinet
H-915387	445.0	Freycinet
H-535511	369.0	Takone
H-592363	338.0	WPP
H-112208	341.0	WPP
H-794291	239.0	Freycinet
H-721678	161.0	Freycinet
H-915137	240.0	WPP
H-985892	473.0	Takone
H-917433	543.0	WPP
H-795010	299.0	Takone
H-601173	644.0	Takone
H-833391	135.0	Freycinet
H-986037	337.0	WPP
H-452806	93.0	Freycinet
H-489786	760.0	Takone
H-112574	323.0	Takone
H-978551	186.0	Takone
H-007425	513.0	Takone
H-978448	331.0	Black River
H-909961	470.0	WPP
H-154889	233.0	WPP
H-852026	359.0	Takone
H-566772	429.0	Black River
H-160463	553.0	WPP
H-574318	406.0	Takone
H-695064	570.0	Freycinet
H-112723	610.0	Takone
H-697786	552.0	Freycinet
H-419211	239.0	WPP
H-625636	236.0	Black River
H-979062	483.0	Takone
H-953323	102.0	WPP
H-225392	246.0	Black River
H-421013	48.0	Freycinet
H-982482	89.0	Black River
H-983139	-200.0	Freycinet
H-978018	432.0	Takone
H-977606	147.0	Freycinet
H-223167	497.0	Black River
H-604602	44.0	WPP
H-112626	65.0	Black River
H-621050	595.0	Black River
H-418797	245.0	Takone
H-415268	444.0	Freycinet
H-828737	140.0	WPP
H-416908	271.0	Black River
H-423419	298.0	Takone
H-793918	175.0	Freycinet
H-983152	431.0	Freycinet
H-392944	353.0	Freycinet
H-919599	294.0	WPP
H-112386	252.0	WPP
H-909578	205.0	WPP
H-119589	560.0	Freycinet
H-418713	108.0	Freycinet
H-595045	337.0	Black River
H-596557	674.0	Takone
H-794578	376.0	Freycinet
H-721693	434.0	Freycinet
H-601375	635.0	WPP
H-721619	453.0	WPP
H-583073	672.0	Takone
H-819534	560.0	Black River
H-983053	396.0	Takone
H-022679	644.0	Freycinet
H-206811	409.0	WPP
H-137877	261.0	WPP
H-785985	1.0	WPP
H-898077	35.0	WPP
H-796184	164.0	WPP
H-789608	285.0	WPP
H-145258	400.0	WPP
H-349333	411.0	WPP
H-181561	352.0	WPP
H-881692	151.0	WPP
H-235981	28.0	WPP
H-871888	147.0	WPP
H-818438	123.0	WPP
H-169079	342.0	WPP
H-492284	897.0	Freycinet
H-253781	84.0	WPP
H-205647	374.0	WPP
H-902095	445.0	WPP
H-812469	546.0	WPP
H-146490	182.0	WPP
H-786788	535.0	WPP
H-059180	508.0	WPP
H-094895	1531.0	WPP
H-787241	561.0	WPP
H-788545	1393.0	WPP
H-813037	224.0	WPP
H-533968	249.0	WPP
H-533626	161.0	WPP
H-609271	875.0	WPP
H-781717	60.0	WPP
H-789148	426.0	WPP
H-786887	604.0	WPP
H-811000	319.0	WPP
H-532654	516.0	WPP
H-810816	454.0	WPP
H-809050	746.0	WPP
H-813159	199.0	WPP
H-532991	374.0	WPP
H-610576	385.0	WPP
H-810552	259.0	WPP
H-811270	638.0	WPP
H-582740	205.0	Takone
H-572651	357.0	Takone
H-236435	343.0	WPP
H-252932	391.0	WPP
H-111670	89.0	WPP
H1-149010	351.0	WPP
H-151890	131.0	WPP
H-188220	662.0	WPP
H-958355	420.0	WPP
H-788646	511.0	WPP
